name,pokedex_number,type1,type2,abilities,generation,is_legendary,base_total,capture_rate,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,classfication,defense,experience_growth,height_m,hp,japanese_name,percentage_male,sp_attack,sp_defense,speed,weight_kg
Bulbasaur,1,grass,poison,"['Overgrow', 'Chlorophyll']",1,0,318,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,Seed Pokémon,49,1059860,0.7,45,Fushigidaneフシギダネ,88.1,65,65,45,6.9
Ivysaur,2,grass,poison,"['Overgrow', 'Chlorophyll']",1,0,405,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,Seed Pokémon,63,1059860,1,60,Fushigisouフシギソウ,88.1,80,80,60,13
Venusaur,3,grass,poison,"['Overgrow', 'Chlorophyll']",1,0,625,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,Seed Pokémon,123,1059860,2,80,Fushigibanaフシギバナ,88.1,122,120,80,100
Charmander,4,fire,,"['Blaze', 'Solar Power']",1,0,309,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,Lizard Pokémon,43,1059860,0.6,39,Hitokageヒトカゲ,88.1,60,50,65,8.5
Charmeleon,5,fire,,"['Blaze', 'Solar Power']",1,0,405,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,Flame Pokémon,58,1059860,1.1,58,Lizardoリザード,88.1,80,65,80,19
Charizard,6,fire,flying,"['Blaze', 'Solar Power']",1,0,634,45,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,Flame Pokémon,78,1059860,1.7,78,Lizardonリザードン,88.1,159,115,100,90.5
Squirtle,7,water,,"['Torrent', 'Rain Dish']",1,0,314,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,Tiny Turtle Pokémon,65,1059860,0.5,44,Zenigameゼニガメ,88.1,50,64,43,9
Wartortle,8,water,,"['Torrent', 'Rain Dish']",1,0,405,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,Turtle Pokémon,80,1059860,1,59,Kameilカメール,88.1,65,80,58,22.5
Blastoise,9,water,,"['Torrent', 'Rain Dish']",1,0,630,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,Shellfish Pokémon,120,1059860,1.6,79,Kamexカメックス,88.1,135,115,78,85.5
Caterpie,10,bug,,"['Shield Dust', 'Run Away']",1,0,195,255,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,Worm Pokémon,35,1000000,0.3,45,Caterpieキャタピー,50,20,20,45,2.9
